,Etat site0,Etat site1,Etat site2,Etat site3,Etat site4,Etat site5,Etat site6,Etat site7,Etat site8,Etat site9,Etat site10,Etat site11,Etat site12,Etat site13,Etat site14,Etat site15,Etat site16,Etat site17,Etat site18,Etat site19,Etat site20,Etat site21,Etat site22,Etat site23,Etat site24,Etat site25,Etat site26,Etat site27,Etat site28,Etat site29,Etat site30,Etat site31,Etat site32,Etat site33,Etat site34,Etat site35,Etat site36,Etat site37,Etat site38,Etat site39,Etat site40,Etat site41,Etat site42,Etat site43,Etat site44,Etat site45,Etat site46,Etat site47,Etat site48,Etat site49,Etat site50,Etat site51,Etat site52,Etat site53,Etat site54,Etat site55,Etat site56,Etat site57,Etat site58,Etat site59,Etat site60,Etat site61,Etat site62,Etat site63,Etat site64,Etat site65,Etat site66,Etat site67,Etat site68,Etat site69,Etat site70,Etat site71,Etat site72,Etat site73,Etat site74,Etat site75,Etat site76,Etat site77,Etat site78,Etat site79,Etat site80,Etat site81,Etat site82,Etat site83,Etat site84,Etat site85,Etat site86,Etat site87,Etat site88,Etat site89,Etat site90,Etat site91,Etat site92,Etat site93,Etat site94,Etat site95,Etat site96,Etat site97,Etat site98,Etat site99
t0,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,END
t1,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,DFE,END
t2,END,END,END,END,VIDE,VIDE,END,END,VIDE,END,END,VIDE,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,VIDE,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,VIDE,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,VIDE,VIDE,END,END
t3,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,VIDE,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,VIDE,VIDE,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE
t4,END,END,END,END,END,END,VIDE,END,END,END,END,VIDE,END,END,END,END,END,END,END,VIDE,END,END,VIDE,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,VIDE,END,VIDE,END,END,END,END,VIDE
t5,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,VIDE,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,VIDE,END,END,END,END,END,END,END,END,END,END
t6,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END
t7,END,END,END,VIDE,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,VIDE,VIDE,END,END,END,END,END,END,END,END,END,END,VIDE,END,VIDE,END,END,END,END,END,END,END,END,VIDE,END,VIDE,END,END,VIDE,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END
t8,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,VIDE,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,VIDE,END,END,END,END,END,VIDE,END,END,VIDE,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,VIDE,END,END,END,END,END,VIDE,END,END,END,END,END,END,VIDE
t9,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,VIDE,END,END,END,VIDE,END,END,END,END,END,VIDE,END,END,END,VIDE,END,END,END,END,END,END,END,END,VIDE,END,VIDE,END
t10,END,END,END,END,END,END,END,END,END,END,VIDE,END,VIDE,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,VIDE,END,END,END,VIDE,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,VIDE,VIDE,END,END,END
t11,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END
t12,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,VIDE,VIDE,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END
t13,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,VIDE,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,VIDE,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,VIDE,END,END,END,END,END,END,END,END,END,VIDE,END,VIDE,VIDE,END,END,END,VIDE,VIDE,END,END,END,END,END,END,END,END
t14,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,VIDE,VIDE,VIDE,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,VIDE,END,END,END,END,END,END,VIDE,VIDE,VIDE,END,END,END,END,END,END,END,END,END,END,END,END,END,VIDE,END,END,END,END,VIDE,END,END,END,END,END,END,END,VIDE,END,END,END,END,END,END
